SSN,SPEC,Year,Nsta,New,Recap,Cap,New_Res1,New_Res0,F_Pradel_Phi,Pradel_Phi,Pradel_Phi_se,Pradel_Phi_lcl,Pradel_Phi_ucl,F_Pradel_Phi_t,Pradel_Phi_t,Pradel_Phi_t_se,Pradel_Phi_t_lcl,Pradel_Phi_t_ucl,F_Pradel_Phi_Trend,Pradel_Phi_Trend,Pradel_Phi_Trend_se,Pradel_Phi_Trend_lcl,Pradel_Phi_Trend_ucl,Pradel_Phi_Trend_beta,Pradel_Phi_Trend_beta_se,Pradel_Phi_Trend_beta_lcl,Pradel_Phi_Trend_beta_ucl,F_Pradel_Phi_dot,Pradel_Phi_dot,Pradel_Phi_dot_se,Pradel_Phi_dot_lcl,Pradel_Phi_dot_ucl,F_Pradel_p,Pradel_p,Pradel_p_se,Pradel_p_lcl,Pradel_p_ucl,F_Pradel_p_t,Pradel_p_t,Pradel_p_t_se,Pradel_p_t_lcl,Pradel_p_t_ucl,F_Pradel_p_dot,Pradel_p_dot,Pradel_p_dot_se,Pradel_p_dot_lcl,Pradel_p_dot_ucl,F_Lambda,Lambda,Lambda_se,Lambda_lcl,Lambda_ucl,F_Lambda_t,Lambda_t,Lambda_t_se,Lambda_t_lcl,Lambda_t_ucl,F_Lambda_Trend,Lambda_Trend,Lambda_Trend_se,Lambda_Trend_lcl,Lambda_Trend_ucl,Lambda_Trend_beta,Lambda_Trend_beta_se,Lambda_Trend_beta_lcl,Lambda_Trend_beta_ucl,F_Lambda_dot,Lambda_dot,Lambda_dot_se,Lambda_dot_lcl,Lambda_dot_ucl
6160,COGD,2004,5,26,3,29,3,23,,0.415691,0.130443,0.198915,0.670868,,0.269137,0.318148,0.01523,0.897625,,0.396552,0.171124,0.139258,0.727456,-0.02974,0.172996,-0.36881,0.30933,,0.422656,0.111202,0.230572,0.64137,,0.04984,0.026206,0.017422,0.134332,,0.04224,0.029448,0.010478,0.15518,,0.052781,0.024206,0.021116,0.125824,,1.066764,0.28818,0.628226,1.811424,,1.138865,0.291538,0.689554,1.880942,,0.871192,0.230318,0.51889,1.462688,-0.00121,0.074184,-0.14662,0.144184,,0.875798,0.134272,0.648485,1.182789
6160,COGD,2005,3,28,2,30,1,27,,0.414139,0.141017,0.184515,0.688321,,0.69072,0.429305,0.041672,0.991357,,0.390223,0.199213,0.110336,0.767555,-0.02974,0.172996,-0.36881,0.30933,,0.422656,0.111202,0.230572,0.64137,,0.05337,0.032498,0.015728,0.165914,,0.054891,0.047626,0.009515,0.25988,,0.052781,0.024206,0.021116,0.125824,,1.36672,0.453906,0.712818,2.620477,,1.551435,0.381385,0.958254,2.511807,,0.870507,0.283817,0.459456,1.649304,-0.00121,0.074184,-0.14662,0.144184,,0.875798,0.134272,0.648485,1.182789
6160,COGD,2006,4,48,1,49,1,47,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,X,0,0,0,0,,0.064914,0.062399,0.009171,0.342379,,0.096275,0.105257,0.009849,0.532908,,0.052781,0.024206,0.021116,0.125824,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,X,0,0,0,0
6460,YBCU,1992,12,21,0,21,0,21,,0.743105,0.132403,0.426233,0.918457,X,0.000006,0.000862,0,1,,0.748546,0.123727,0.450781,0.915232,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.046053,0.038842,0.008461,0.214521,,0.045134,0.043365,0.006534,0.253562,,0.048705,0.020641,0.020934,0.109209,V,1.452763,227.3473,0,2.4E+13,X,52.74938,1862.17,0,5.9E+31,N,0.602399,0.169724,0.346781,1.046436,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,1993,17,42,0,42,1,41,,0.66961,0.130792,0.388806,0.865899,,0.54006,0.431111,0.037645,0.97241,,0.672884,0.126907,0.399198,0.864282,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.060003,0.045966,0.012757,0.239734,,0.063917,0.05136,0.012535,0.268618,,0.048705,0.020641,0.020934,0.109209,V,0.679601,7.167134,0,64456743,V,0.601805,58.72128,0,6.9E+82,N,0.614476,0.154151,0.375805,1.004722,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,1994,23,47,0,47,2,45,,0.585533,0.124039,0.341581,0.793689,,0.866502,0.294395,0.042378,0.99895,,0.586906,0.121891,0.346556,0.791928,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.037361,0.023081,0.010912,0.120132,,0.03343,0.022576,0.008717,0.119739,,0.048705,0.020641,0.020934,0.109209,,0.688283,0.116226,0.49434,0.958312,,0.943896,0.475079,0.351958,2.531375,,0.626796,0.138213,0.406842,0.965664,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,1995,32,64,1,65,0,64,,0.494983,0.112366,0.288823,0.702863,,0.753639,0.489681,0.017103,0.998143,,0.495234,0.109646,0.293432,0.6986,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.043563,0.023057,0.015162,0.118747,,0.041781,0.023577,0.013561,0.121493,,0.048705,0.020641,0.020934,0.109209,,0.699586,0.161599,0.444851,1.100186,,1.457134,0.814925,0.486903,4.360703,,0.639365,0.122071,0.439774,0.92954,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,1996,39,95,7,102,4,91,,0.404001,0.094297,0.23932,0.593575,,0.251615,0.179887,0.049153,0.68619,,0.403897,0.09362,0.240234,0.592157,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.064702,0.033029,0.023184,0.167798,,0.070245,0.034668,0.025999,0.17617,,0.048705,0.020641,0.020934,0.109209,,0.691512,0.095976,0.526814,0.907699,,0.664455,0.452533,0.174878,2.524614,,0.652189,0.106013,0.47425,0.896889,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,1997,26,43,2,45,2,41,,0.320442,0.082205,0.183672,0.497043,,0.381153,0.464994,0.012761,0.967048,,0.318837,0.078175,0.187758,0.486601,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.042355,0.019869,0.01665,0.103561,,0.040154,0.019108,0.015584,0.099542,,0.048705,0.020641,0.020934,0.109209,,0.711687,0.199046,0.411356,1.23129,,1.763336,1.096263,0.521356,5.963973,,0.665272,0.090573,0.509459,0.868736,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,1998,35,81,2,83,1,80,,0.247182,0.071908,0.133414,0.411857,,0.397448,0.332253,0.041671,0.909137,,0.244455,0.066198,0.13813,0.395103,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.069851,0.035576,0.025033,0.180088,,0.077178,0.036715,0.029549,0.1868,,0.048705,0.020641,0.020934,0.109209,,0.700717,0.122312,0.497691,0.986564,Y,0.76592,0.850374,0.086917,6.749317,,0.678619,0.076759,0.54368,0.847048,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,1999,23,51,1,52,1,50,,0.18655,0.075614,0.079494,0.378495,,0.407204,0.8423,0.000735,0.998443,,0.182901,0.057842,0.094883,0.323395,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.051731,0.026584,0.01851,0.136297,,0.05278,0.028279,0.018055,0.14446,,0.048705,0.020641,0.020934,0.109209,,0.704275,0.073512,0.573973,0.864155,N,0.738625,0.349703,0.29202,1.868248,,0.692236,0.066401,0.573591,0.835421,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,2000,27,36,2,38,2,34,,0.137798,0.062715,0.053742,0.310223,X,0,0.000056,0,1,,0.134235,0.051598,0.060982,0.27016,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.047746,0.040841,0.008547,0.225773,,0.047414,0.045802,0.006773,0.266464,,0.048705,0.020641,0.020934,0.109209,X,1364.456,3361792,0,99999.99,X,91565.32,27546425,0,1.1E+26,,0.706128,0.062204,0.594152,0.839207,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,2001,29,48,0,48,1,47,,0.101416,0.060808,0.029614,0.294476,,0.096535,0.123812,0.006569,0.633227,,0.097119,0.046135,0.036937,0.231755,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.057754,0.04175,0.013442,0.216132,,0.06089,0.046488,0.013005,0.24188,,0.048705,0.020641,0.020934,0.109209,,0.712589,0.074499,0.580558,0.874646,,0.748344,0.366114,0.286851,1.952291,,0.720302,0.066309,0.601386,0.862731,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,2002,30,42,1,43,3,39,,0.074661,0.060801,0.014173,0.311684,,0.293969,0.263659,0.033373,0.833919,,0.069573,0.040951,0.021181,0.205327,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.055636,0.048104,0.009697,0.261694,,0.058037,0.054274,0.008725,0.301322,,0.048705,0.020641,0.020934,0.109209,,0.726244,0.174677,0.453258,1.163641,,1.382496,1.154475,0.269055,7.103727,,0.734762,0.078273,0.596303,0.90537,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,2003,25,46,2,48,4,42,,0.054583,0.057768,0.006393,0.341242,,0.124776,0.147754,0.009953,0.669045,,0.049533,0.036071,0.011475,0.189603,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.066243,0.072414,0.0071,0.413072,,0.07232,0.082278,0.006996,0.463102,,0.048705,0.020641,0.020934,0.109209,,0.718089,0.080361,0.576658,0.894205,N,0.546588,0.226432,0.242677,1.23109,,0.749515,0.095943,0.583201,0.963257,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,2004,28,32,2,34,0,32,,0.040172,0.055991,0.002424,0.418873,X,0,0.000171,0,1,,0.035156,0.031657,0.005815,0.184991,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.049108,0.059525,0.004228,0.385816,,0.049248,0.067994,0.002998,0.471494,,0.048705,0.020641,0.020934,0.109209,X,3262.438,66313622,0,99999.99,X,218998.2,54337471,0,99999.99,,0.764567,0.117434,0.565812,1.033139,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,2005,27,44,0,44,1,43,,0.030104,0.054886,0.000778,0.552774,X,0,0.000052,0,1,,0.024938,0.027817,0.002709,0.194052,-0.37034,0.098087,-0.56259,-0.17809,,0.435592,0.102724,0.253879,0.636424,,0.064654,0.100198,0.002679,0.640062,,0.07018,0.115117,0.002372,0.705528,,0.048705,0.020641,0.020934,0.109209,,0.730945,0.115017,0.536959,0.99501,,0.815466,0.519064,0.234198,2.839399,,0.779924,0.141617,0.546373,1.113306,0.019804,0.032538,-0.04397,0.083579,,0.708587,0.05664,0.605832,0.82877
6460,YBCU,2006,25,32,0,32,1,31,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,X,0,0,0,0,,0.052492,0.089476,0.001627,0.653139,,0.053804,0.10308,0.001073,0.750542,,0.048705,0.020641,0.020934,0.109209,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,X,0,0,0,0
9630,RBWO,1992,11,20,0,20,2,18,,0.436905,0.088186,0.277618,0.610363,V,0.965952,0.382927,0,1,,0.387409,0.092903,0.226971,0.576654,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.318026,0.333523,0.02238,0.904754,,0.594307,0.385708,0.059878,0.971175,,0.133413,0.032728,0.081215,0.211439,,0.991204,0.244352,0.611392,1.606964,,0.774826,0.26829,0.393062,1.527375,,1.088539,0.260757,0.680669,1.740809,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,1993,18,24,3,27,0,24,,0.440448,0.079292,0.295266,0.596584,,0.503829,0.270212,0.108779,0.894155,,0.398535,0.085404,0.247889,0.5712,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.228365,0.171835,0.041932,0.666796,,0.370463,0.196033,0.10177,0.753478,,0.133413,0.032728,0.081215,0.211439,,1.008171,0.207661,0.673289,1.509616,,0.908003,0.288522,0.487089,1.692645,,1.070426,0.219939,0.71558,1.601235,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,1994,25,45,3,48,1,44,,0.44462,0.073768,0.308324,0.589789,,0.392848,0.191837,0.117973,0.757871,,0.409775,0.078331,0.269003,0.567067,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.171434,0.080768,0.063567,0.386745,,0.228335,0.096344,0.092,0.463559,,0.133413,0.032728,0.081215,0.211439,,1.000027,0.177466,0.706242,1.416022,,0.907457,0.256145,0.521862,1.577962,,1.053449,0.181327,0.751789,1.476152,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,1995,36,48,3,51,3,45,,0.449177,0.069378,0.320035,0.585552,,0.489873,0.222009,0.144083,0.845632,,0.421119,0.071963,0.289712,0.564737,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.141589,0.045151,0.073763,0.254635,,0.153823,0.056892,0.071649,0.299807,,0.133413,0.032728,0.081215,0.211439,,0.985794,0.143828,0.740616,1.312138,,0.87249,0.188561,0.57121,1.332676,,1.037556,0.144863,0.789159,1.364137,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,1996,33,43,3,46,5,38,,0.453518,0.065616,0.330619,0.582355,,0.435918,0.21772,0.119921,0.814222,,0.432552,0.066648,0.309243,0.564824,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.123661,0.037228,0.067135,0.216721,,0.109066,0.038753,0.05305,0.211047,,0.133413,0.032728,0.081215,0.211439,,0.971728,0.129149,0.748879,1.260889,,0.835838,0.175841,0.553408,1.262404,,1.022696,0.11058,0.827384,1.264112,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,1997,33,36,4,40,3,33,,0.457852,0.06293,0.339414,0.581251,,0.359754,0.201683,0.091732,0.757641,,0.444063,0.062787,0.326692,0.568026,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.112217,0.040805,0.053601,0.22003,,0.080497,0.029587,0.038453,0.16082,,0.133413,0.032728,0.081215,0.211439,,0.997563,0.112721,0.799384,1.244873,,1.004786,0.221247,0.65259,1.547057,,1.008823,0.078753,0.865694,1.175615,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,1998,30,37,3,40,1,36,,0.462499,0.061602,0.346156,0.583074,,0.457493,0.255257,0.100994,0.863579,,0.455637,0.060765,0.341165,0.574995,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.109165,0.04275,0.049223,0.224842,,0.072878,0.027624,0.034071,0.149065,,0.133413,0.032728,0.081215,0.211439,,0.995507,0.115614,0.792842,1.249975,,1.025988,0.246934,0.640135,1.64442,,0.995893,0.050526,0.901626,1.100016,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,1999,29,38,2,40,2,36,,0.467391,0.062738,0.348737,0.589852,,0.690905,0.340419,0.08948,0.98071,,0.46726,0.060845,0.352006,0.586117,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.108128,0.043543,0.047652,0.227055,,0.070288,0.027237,0.03232,0.146125,,0.133413,0.032728,0.081215,0.211439,,0.975692,0.098624,0.800332,1.189474,,0.952379,0.216076,0.610499,1.48571,,0.983864,0.031143,0.924677,1.046838,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,2000,25,33,5,38,0,33,,0.470998,0.063248,0.35122,0.594211,,0.142676,0.108694,0.028335,0.48711,,0.478919,0.063062,0.359009,0.601308,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.109326,0.042937,0.049176,0.225593,,0.073278,0.028846,0.033248,0.153836,,0.133413,0.032728,0.081215,0.211439,X,876.3896,626229.6,0,99999.99,X,4565.147,1429900,0,1.9E+27,,0.972694,0.034379,0.907591,1.042466,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,2001,32,41,0,41,3,38,,0.476058,0.064809,0.353173,0.601911,,0.463784,0.232822,0.12131,0.844203,,0.490599,0.067214,0.362447,0.619998,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.111807,0.041152,0.052918,0.220941,,0.079473,0.029679,0.037518,0.160518,,0.133413,0.032728,0.081215,0.211439,,1.078563,0.272839,0.656926,1.770818,,1.541846,0.337802,1.00357,2.36883,,0.962346,0.054333,0.861533,1.074955,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,2002,41,66,2,68,2,64,,0.480313,0.068355,0.3508,0.612527,,0.299351,0.139698,0.103784,0.611846,,0.502286,0.072951,0.362897,0.641319,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.137665,0.040441,0.075681,0.237377,,0.144028,0.049118,0.07155,0.268679,,0.133413,0.032728,0.081215,0.211439,,0.906309,0.142453,0.666011,1.233305,,0.667369,0.136479,0.44698,0.996421,,0.952783,0.077934,0.811646,1.118461,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,2003,33,40,3,43,5,35,,0.485967,0.075671,0.343017,0.63125,V,0.978452,0.242347,0,1,,0.513964,0.079888,0.361019,0.664336,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.125269,0.036579,0.069283,0.215997,,0.113082,0.038598,0.056575,0.213269,,0.133413,0.032728,0.081215,0.211439,,0.947209,0.111948,0.751349,1.194125,,0.902371,0.187602,0.600367,1.356291,,0.94397,0.101818,0.764088,1.166198,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,2004,26,37,7,44,1,36,,0.489676,0.078006,0.342284,0.638884,,0.492257,0.193029,0.175854,0.814985,,0.52562,0.087676,0.35741,0.688209,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.133653,0.038481,0.074439,0.228348,,0.134012,0.045756,0.066688,0.251022,,0.133413,0.032728,0.081215,0.211439,,0.948017,0.139155,0.710999,1.264045,,0.926569,0.242908,0.554272,1.548932,,0.935874,0.1252,0.720015,1.216445,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,2005,23,36,3,39,1,35,,0.494971,0.08627,0.332578,0.658431,V,0.968851,0.239287,0.000006,0.999999,,0.537239,0.096031,0.352548,0.712246,0.046778,0.046847,-0.04504,0.138599,,0.466866,0.060363,0.3525,0.584824,,0.137331,0.042503,0.073046,0.243339,,0.143194,0.053382,0.066495,0.281667,,0.133413,0.032728,0.081215,0.211439,,0.946921,0.138522,0.710872,1.261351,N,0.93915,0.206449,0.6104,1.444956,,0.928464,0.147858,0.679529,1.268592,-0.0115,0.029813,-0.06994,0.046926,,0.977491,0.0229,0.93362,1.023422
9630,RBWO,2006,25,32,8,40,0,32,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,X,0,0,0,0,,0.16242,0.072457,0.063908,0.355169,,0.20583,0.091435,0.079688,0.436865,,0.133413,0.032728,0.081215,0.211439,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,X,0,0,0,0
